simulation,total_cost,build_cost,inservice_cost
86,4458088.7432983145,4314276.210094451,143812.5332038637
87,3946010.918586236,3811896.1127234898,134114.80586274626
88,3724416.953733423,3581631.118910637,142785.83482278557
89,4627886.2697431445,4468856.624809419,159029.64493372542
90,4088568.2053508484,3949768.020161635,138800.1851892134
91,4764700.804537588,4627013.593493541,137687.2110440479
92,3516384.3156552603,3404278.060102554,112106.25555270645
93,3641238.2128070374,3501782.1457151044,139456.0670919331
94,3732159.2883072095,3595217.7509606793,136941.53734653018
95,3316926.8925603167,3171327.86311165,145599.02944866635
96,3987250.7307193377,3836860.7383144777,150389.99240485998
97,4055014.459675527,3904901.321293987,150113.1383815405
98,3916252.755431923,3785540.008595872,130712.74683605111
99,3796722.4266606863,3663016.0236520427,133706.4030086429
100,3361793.4314064723,3226306.2673968584,135487.16400961415
101,3817800.584941499,3677137.5794754857,140663.0054660136
102,3461449.8611331964,3335200.3740223465,126249.48711085012
103,3541169.564437379,3407889.4751443053,133280.0892930743
104,3831951.811275949,3707321.6738125784,124630.13746337037
105,4337186.877579769,4189742.453897184,147444.42368258478
106,5433508.662491437,5267474.276480157,166034.38601128047
107,4102284.188380686,3951164.0179703836,151120.1704103022
108,4355126.600038284,4203463.1334529435,151663.46658534138
109,3946315.873188548,3802547.418399753,143768.4547887953
110,2794573.6323792366,2678647.9079630617,115925.72441617475
111,4215032.237914269,4049724.651268824,165307.58664544503
112,3945390.86827877,3801188.0545619596,144202.8137168099
113,5522986.631608585,5356523.548094063,166463.08351452276
114,4116741.1681868546,3976792.1080524824,139949.06013437253
115,4274967.524733175,4123624.0582157383,151343.46651743603
116,4050774.2788102105,3899452.8353848527,151321.44342535845
117,3241386.8792166775,3108948.235264349,132438.64395232892
118,4498066.18686367,4348980.803028477,149085.38383519402
119,4426330.853673333,4280553.27478317,145777.5788901631
120,4922448.263429501,4746938.893059869,175509.3703696317
121,3374780.261387001,3248731.9824241744,126048.27896282641
122,5110308.78678687,4943336.480603987,166972.30618288237
123,3246691.803522899,3133692.9792757556,112998.82424714416
124,4602153.881156508,4443510.136748921,158643.74440758768
125,5459084.54974584,5281018.55257989,178065.9971659498
126,3485257.299522124,3341946.46404396,143310.8354781639
127,3291152.410159521,3174553.685486704,116598.72467281648
128,3977595.197251337,3839008.488006318,138586.70924501945
129,3577558.4463315923,3449198.4957390777,128359.9505925145
130,3017809.7526364224,2894724.2933044643,123085.45933195773
131,3990730.328170612,3850901.0493346727,139829.27883593942
132,3557900.937393887,3428287.0257623484,129613.91163153885
133,4494770.802846879,4354436.877904979,140333.9249418997
134,3373058.5219249004,3248139.5516393054,124918.97028559545
135,5141507.773347564,4976694.448092163,164813.32525540213
136,3350175.514994826,3225174.7440723334,125000.77092249258
137,3871960.998277464,3747203.4036754463,124757.59460201772
138,4446267.437126927,4285131.180426217,161136.25670070917
139,3285263.9104862427,3161934.4913989995,123329.4190872435
140,4218497.065472972,4072622.371379607,145874.69409336513
141,4881911.171024961,4715900.562061388,166010.60896357434
142,3029682.3627082002,2908531.8421637504,121150.52054444974
143,3917312.6837405334,3778202.971101421,139109.71263911205
144,4040984.576234062,3898475.8213257417,142508.75490832052
145,4460997.527172885,4290810.0496884575,170187.477484426
146,3273085.819870544,3151275.7464884305,121810.07338211269
147,3356956.675092905,3238836.391088583,118120.28400432179
148,3974493.3901975374,3850764.0593407066,123729.33085683147
149,4422265.523809683,4288127.944954382,134137.57885530082
150,4169451.334858521,4025213.2807661835,144238.05409233697
151,4204435.875335496,4062682.433195141,141753.44214035428
152,3357844.640047044,3229748.518429254,128096.12161779014
153,4234169.95073116,4098853.2184219435,135316.7323092154
154,4213974.278602292,4077526.6662411266,136447.61236116505
155,3863407.810618302,3716188.8429146516,147218.9677036507
156,5291496.138043041,5138403.790055396,153092.34798764632
157,4474975.549513167,4321103.6553831035,153871.89413006307
158,3219449.606246136,3095516.5786662996,123933.02757983668
159,4544357.015448725,4382637.728107275,161719.28734144964
160,3189004.05893539,3077926.7251431914,111077.33379219781
161,4688737.43950109,4541792.072515918,146945.36698517174
