simulation,phase1_end,phase2_end,phase3_end,phase4_end,project_end
170,6.395473210316403,15.00488581246278,37.027107598844374,37.027107598844374,37.027107598844374
171,6.925326734338044,14.080013160470447,37.5270499726838,37.5270499726838,37.5270499726838
172,6.178314755319858,15.345574857146591,37.125102716976485,37.125102716976485,37.125102716976485
173,7.51589963126423,14.994004881688229,36.22379213268598,36.22379213268598,36.22379213268598
174,5.075380065521757,12.525136460073522,36.87610425605675,36.87610425605675,36.87610425605675
175,6.056495609248941,15.101477370849448,37.77707285734578,37.77707285734578,37.77707285734578
176,6.276488011959333,13.452597545898794,37.08285224584443,37.08285224584443,37.08285224584443
177,6.791204033088607,13.519172019125932,36.78224019777128,36.78224019777128,36.78224019777128
178,7.706879110663959,13.033482733635623,37.397753947400496,37.397753947400496,37.397753947400496
179,6.613226977185983,14.676382062879266,37.35769343429745,37.35769343429745,37.35769343429745
180,7.062113785014787,12.880725069375275,36.992413815947614,36.992413815947614,36.992413815947614
181,7.452738863567277,13.756520403153239,37.11939399637678,37.11939399637678,37.11939399637678
182,7.0662914388388005,14.571610535604059,37.15390915396699,37.15390915396699,37.15390915396699
183,6.390369405997707,14.02288923260053,36.55306510617666,36.55306510617666,36.55306510617666
184,6.5400438214752565,13.920627854158248,37.51872806059822,37.51872806059822,37.51872806059822
185,6.698859720818584,15.778452465496684,37.144773995052766,37.144773995052766,37.144773995052766
186,7.038370377193748,14.650951187457965,37.36122536847898,37.36122536847898,37.36122536847898
187,6.291052622592906,12.754449429489753,36.773816996288744,36.773816996288744,36.773816996288744
188,5.9837675421052445,14.84353641647002,36.722732330232546,36.722732330232546,36.722732330232546
189,7.137237165681274,14.66650089379491,36.49845105150317,36.49845105150317,36.49845105150317
190,7.091726980166137,12.904261728151045,36.41811851594517,36.41811851594517,36.41811851594517
191,6.833932682602805,15.019695784068935,36.931996503200054,36.931996503200054,36.931996503200054
192,6.945815923627125,14.030799026454076,37.020818498666436,37.020818498666436,37.020818498666436
193,6.7545498984220576,14.868431272849588,37.00722971399902,37.00722971399902,37.00722971399902
194,5.892825350746598,13.165264085602743,36.34120543781005,36.34120543781005,36.34120543781005
195,6.977605956678694,13.350431573090958,37.1396542676587,37.1396542676587,37.1396542676587
196,6.916273089750443,14.21091049020795,37.41440264612928,37.41440264612928,37.41440264612928
197,6.986828961182677,15.126697876724593,36.45941399810955,36.45941399810955,36.45941399810955
198,8.084851658696683,12.790147630107313,37.17073786917776,37.17073786917776,37.17073786917776
199,7.555145848303315,13.8754857917439,36.528063233721944,36.528063233721944,36.528063233721944
200,7.091766701570707,14.048454847260682,37.47878561921566,37.47878561921566,37.47878561921566
201,5.613568485732248,13.405661762794587,36.98512392779059,36.98512392779059,36.98512392779059
202,7.376311159499739,13.415299629847137,37.104397174153625,37.104397174153625,37.104397174153625
203,6.152911098080245,13.666081433145159,37.76259408936499,37.76259408936499,37.76259408936499
204,7.141210798580855,13.200689358966471,37.114420097111996,37.114420097111996,37.114420097111996
205,5.57505175339728,15.2028808497681,37.23992425143133,37.23992425143133,37.23992425143133
206,5.95806562045321,13.301676090751826,37.95909972531808,37.95909972531808,37.95909972531808
207,6.949231024691267,16.47594857031662,37.20824791143279,37.20824791143279,37.20824791143279
208,6.1187057634187765,13.274148729617497,36.714399626579755,36.714399626579755,36.714399626579755
209,8.017204373218227,14.254056220925275,36.973302942110394,36.973302942110394,36.973302942110394
210,6.841609250816736,13.38694396215249,37.21128360075992,37.21128360075992,37.21128360075992
